"cc","FloodPhenomenaID","Year","StartDate","EndDate","Number_FE","Number_FL","EUUOMCODE","FP_Severity","FP_Duration","FP_Extension","SourceOfFlooding","CharacteristicsOfFlooding","MechanismOfFlooding","FrequencyCategory","Area","Source","OtherSources"
"NO","NO-1989-12-03",1989,02/12/1989,04/12/1989,7,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1990-01-31",1990,31/01/1990,03/02/1990,3,,"","High",3,"","","","","",,"National authorities",""
"NO","NO-1990-02-05",1990,05/02/1990,07/02/1990,5,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1990-03-14",1990,14/03/1990,15/03/1990,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1990-03-16",1990,16/03/1990,18/03/1990,2,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1990-03-19",1990,19/03/1990,20/03/1990,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1990-04-30",1990,30/04/1990,01/05/1990,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1990-05-04",1990,04/05/1990,05/05/1990,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1990-06-10",1990,10/06/1990,11/06/1990,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1990-07-06",1990,06/07/1990,07/07/1990,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1990-07-10",1990,10/07/1990,11/07/1990,3,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1990-08-05",1990,05/08/1990,07/08/1990,2,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1990-10-30",1990,29/10/1990,31/10/1990,6,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1990-12-03",1990,03/12/1990,04/12/1990,3,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1991-01-26",1991,26/01/1991,27/01/1991,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1991-06-20",1991,19/06/1991,21/06/1991,3,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1991-07-10",1991,10/07/1991,11/07/1991,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1991-09-04",1991,03/09/1991,05/09/1991,2,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1991-09-15",1991,15/09/1991,16/09/1991,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1991-11-25",1991,25/11/1991,27/11/1991,6,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1991-12-14",1991,13/12/1991,15/12/1991,2,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1992-01-02",1992,02/01/1992,12/01/1992,12,,"","Very High",10,"","","","","",,"National authorities",""
"NO","NO-1992-01-14",1992,14/01/1992,17/01/1992,4,,"","High",3,"","","","","",,"National authorities",""
"NO","NO-1992-01-25",1992,25/01/1992,26/01/1992,1,,"","Moderate",1,"","","","","",,"National authorities",""
